"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9702149033546","14.6892639398575","14.5398752093315","14.9125075340271","15.2099403738976","21.9181115627288","22.8622423410416","22.393708229065","23.8362344503403","24.1549532413483","21.1711344718933","23.114695906639","22.7331506013871","20.1083077192306","14.412637591362","14.4139803051949","15.5844220519066","15.994406580925","13.5385959148407","6.62624436616897","","",
"Andorra","AND","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-35.5356161594391","","-35.0688269138337","","-35.3642950057983","","-30.7962774038315","-24.8728330135345","-25.6963329315186","-27.9384841918945","-28.7209665775299","-29.0508294105529","-27.3218370676041","-28.296629667282","-25.7809802293778","-26.1175063848495","-20.2738556861878","-20.2825334072112","-19.1102730035781","-17.2821919918061","-22.7654764652252","-23.1955306529999","-19.3776218891143","-18.962029337883","-23.6565651893616","-22.3776161670684","-17.8052873611451","-8.86497676372525","","",
"Africa Western and Central","AFW","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-24.0608662366868","","-24.5694491863251","","-25.6198161840439","","-22.0002965927123","-20.1869467496871","-20.8541301488876","-21.0806162357331","-19.6556663513184","-18.2803144454956","-18.7254316806793","-18.0119292736054","-18.0236974954605","-18.8280363082886","-16.8374386429787","-17.7083975076675","-14.6316184997559","-14.6184343695641","-16.4431913495064","-17.7126301527023","-13.5669342279434","-14.1352392435074","-14.5212841629982","-11.3681018352509","-8.49378001689911","-5.32971727848053","","",
"Albania","ALB","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.06482809782028","","-7.50644907355309","","-7.07047212123871","","-5.29381310939789","-8.3336814045906","-3.18735662102699","-6.81243100762367","-2.52618956565857","0.587355129420758","2.340330645442","4.10458205640316","3.96579323709012","4.8275335431099","4.08836376667022","4.32072433829307","4.7436406314373","3.00786724686622","3.20101292431354","3.78789445757867","4.38449493050575","4.66589233279228","3.81513516604901","3.04029352962971","2.23095351457595","1.20367564260959","","",
"Andorra","AND","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5294765233994","","21.1796561479568","","20.7934408187866","","24.1818679571151","24.0496330261231","24.0424448251724","23.1057332754136","22.9461904764175","23.4305438995362","23.7760031223297","23.8964495658874","23.6202560663224","27.3942297697067","26.5516214370727","26.4985965490342","14.9727206230164","15.3032603263855","14.6502537727356","20.4162197113037","20.1982953548431","20.7865686416626","22.7258027791978","23.1184680461884","19.5766763687134","9.45382034778594","","",
"Netherlands Antilles","ANT","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8031901121139","","9.91943562030793","","11.7134855389595","","18.3319349288941","10.8609420061111","13.4731630086899","11.0772649049759","10.6169748306274","10.3531980514526","9.64781606197357","7.53585594892502","5.41561076045036","7.56854230165481","11.406866312027","13.174541592598","16.7877575755119","18.6722737550735","16.3460675477982","17.0443587303161","15.6644211411476","16.4866760969162","18.2983663082123","17.127405166626","14.4869303703309","7.29673993587497","","",
"Argentina","ARG","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.80714613199234","","8.86288559436798","","3.09897057712079","","-14.972181558609","-11.7550857067108","-11.8666000962257","-8.92626416683197","-10.4476386904716","-10.8067903518677","-11.9447005987167","-14.1242251396179","-12.6299953460693","-11.9333944320679","-15.2606752514839","-15.7782915830612","-18.1245430707932","-15.2025545239449","-5.87855336070061","-3.29389713704586","-3.29456469416619","-7.65391421318054","-8.42729640007019","-10.6908522844315","-9.76592028141022","-3.37774774432183","","",
"Armenia","ARM","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.80699691176414","","-4.29072824120521","","-2.92572672665118","","0.957671985030174","2.84869599342346","1.85725002735852","1.51406536251307","4.96962159872054","4.50852191448213","5.1159775853157","4.64871919155122","4.57209149003029","4.19799016416074","5.68264776468277","3.99810568988323","2.69483844935894","3.25407142937184","3.51543128490448","3.92051014304161","5.99059349298478","4.16424211859704","4.09765961766242","2.28105607628822","-0.267103232443333","0.333445131778717","","",
"American Samoa","ASM","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45930469036102","6.27279409766197","6.13355791568755","6.39447319507598","6.64387610554695","6.84269866347313","6.69729313254356","6.56826117634773","6.09662997722626","6.15625941753387","3.02599397301674","2.62285776436329","2.09946516156197","-4.59888133406639","-5.15131270885467","-5.45950824022294","8.9812833070755","9.13046967983246","7.64259648323059","3.58409488201141","","",
"Antigua and Barbuda","ATG","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3773199915886","","13.144156396389","","12.770909011364","","11.871527671814","11.6107289195061","9.89989149570465","9.93885511159897","9.30205792188644","9.01633048057556","10.926907479763","11.1061362624168","10.9280342459679","10.7334553003311","10.1876282691956","10.2247274518013","8.99935704469681","6.09192728996277","5.61076462268829","4.06777103245258","6.85506507754326","8.03528633713722","8.50567674636841","6.41415157914162","4.04721754789352","3.82225745916367","","",
"Australia","AUS","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2491507530213","","24.3475897312164","","26.7854294776916","","24.1596447229385","26.7794734239578","29.0907323360444","27.1917198896408","27.603958249092","28.6316703557969","30.0222984552383","30.8877683877946","28.8316044807435","31.4860873222351","30.2412518262864","30.4507391452789","31.5753490924835","30.2351634502411","32.0821361541748","32.703495144844","32.2570086717606","31.7215210199357","30.8628110885621","31.152742266655","26.5285060405732","13.5954388380051","","",
"Austria","AUT","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.1981065273285","","22.8898420333862","","25.083084344864","","26.1469563245773","26.1313133239746","25.7397478818894","27.284276843071","27.9549884796142","28.7497862577438","27.3096797466279","24.6503149271012","24.6587697267532","23.4086064100265","25.7918000221253","25.1976335048675","25.196891784668","23.6622034311295","24.3159909248351","24.294029712677","25.9269137382507","24.6224019527435","23.7488099336625","22.811938047409","17.9647970199585","9.52958810329435","","",
"Azerbaijan","AZE","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20.3372464179993","","-17.7941553592681","","-14.6177325248718","","-12.4411505460739","-10.2332926988602","-10.5573251247406","-9.86927223205566","-8.89738672971726","-7.93065273761749","-6.25178933143616","-5.38455933332443","-6.67344105243683","-6.56819885969162","-8.30818578600883","-7.23078855872154","-4.56439208984375","-6.25093990564346","-6.69741189479829","-6.28619769215584","-5.30943265557289","-3.77665887773037","-5.67523005604744","-1.08957184106112","-1.44681882858276","-0.761666975915433","","",
"Burundi","BDI","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-27.9049041271209","","-26.7779089212417","","-19.3192253112794","","-20.6429668664932","-20.4273147583008","-20.2633439302445","-22.7421829700469","-20.2258384227752","-20.8832234144211","-21.0850321054459","-19.8517439365388","-19.0802677869797","-17.3463529348374","-16.2000061273575","-15.3135086297989","-12.4630860090256","-12.7776982188225","-14.4992242455482","-14.7441039085388","-17.1109621524811","-16.8036205768585","-17.99476313591","-16.9807240962982","-13.2647995948792","-6.90011119842529","","",
"Belgium","BEL","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6419394016267","","17.0987825393676","","19.6004872322082","","21.3210693597794","21.7876458168029","22.8890800476074","21.6131531000137","22.6089428663254","24.1492505073548","23.8963948488235","22.2737441062927","21.8078566789627","21.0156873464584","20.7768959999084","21.8237003087997","19.5990483760834","21.6851103305817","22.6120566129684","20.9946177005768","21.4270300865174","21.7396681308747","22.8739725351334","22.6734539270401","17.5413727760314","8.17757368087772","","",
"Benin","BEN","Regulatory Quality: Estimate","RQ.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.99741114675998","","-2.46874475479127","","-2.73544965684414","","-9.7578267455101","-10.5643582940102","-10.5380789041519","-10.9059863090515","-7.85189512372017","-8.60937738418579","-9.42829626798629","-6.77503442764282","-6.82974997162819","-6.83195081353187","-6.82144919037819","-7.06434938311576","-10.5543156862259","-10.5104265809059","-9.88323360681534","-8.85121482610703","-6.6516679227352","-7.54644787311554","-8.17259576916694","-7.56629264354706","-4.87710511684419","-2.07085409760475","","",
