,corruption_control,rule_of_law,govt_effectiveness,regulatory_quality,cpi_score,bank_branches_per100k,financial_account_pct,gdp_log,basel_score
Cluster 1,13.895,13.149,12.73,13.552,63.556,19.445,87.126,10.248,4.387
Cluster 2,-8.997,-8.078,-7.373,-7.048,33.273,10.765,54.667,7.986,6.051
