"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8214104175568","21.5842726230621","21.2723245620727","21.4518066644669","21.7051811218262","18.8555083274842","19.0620247125626","18.7500908374786","18.6190110445023","19.0312715768815","17.2403227090836","21.3598045110703","21.0992212295533","21.2148582935333","20.6476608514786","20.0855820178985","20.4846209287643","13.7200863361359","10.5928993225098","4.96352732181549","","",
"Andorra","AND","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21.9589811563491","","-19.9922087192535","","-21.6193118095399","","-21.2693293094636","-22.8510557413101","-22.96100461483","-24.6032906770706","-24.5869687795639","-27.4252685308456","-28.4256241321564","-26.3890793323517","-27.971648812294","-27.2080032825469","-24.3163381814957","-24.5808087587356","-23.2019673585892","-23.0084317922592","-26.1662111282349","-25.9990670680999","-25.5096106529236","-24.0947960615158","-25.351037979126","-19.5592831373214","-16.5722259283066","-8.08452248573305","","",
"Africa Western and Central","AFW","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-19.8509312868119","","-20.0676615238189","","-20.357743024826","","-19.6433752775192","-22.7028758525849","-23.418670296669","-22.4940937757493","-21.0976413488388","-22.2273906469346","-22.2489978075028","-23.7620239257813","-22.6520740985871","-23.2469742298126","-22.1408241987228","-22.7275487184524","-24.7855641841889","-24.2131584882736","-25.1749322414398","-24.510694026947","-20.3326480388641","-18.0255932807922","-15.9762498140335","-11.0736394524574","-8.50021916627884","-4.26944142580032","","",
"Albania","ALB","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-15.1963593959808","","-16.864421248436","","-14.5445818901062","","-14.3707954287529","-14.5143719911575","-12.3034408688545","-13.8254861831665","-13.4392698407173","-12.0179809331894","-10.288610637188","-9.26960563659668","-9.03748065233231","-11.9305005073547","-13.2384004592895","-12.7691682577133","-9.96741616725922","-9.18956196308136","-7.95384207367897","-8.11071306467056","-9.21544951200485","-9.52733814716339","-9.68103617429733","-9.74378097057343","-5.71245488524437","-2.32552969455719","","",
"Andorra","AND","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4084352254867","","22.6908988952637","","22.3278653621673","","22.2826447486878","22.6574221849441","19.0255547761917","21.5842726230621","21.2723245620727","21.4518066644669","21.7051811218262","22.4020049571991","22.1301361322402","21.629067659378","21.4290241003037","21.3105515241623","20.7519437074661","19.7710999250412","19.9027056694031","20.1183743476868","20.2103399038315","20.1626008749008","21.6544164419174","21.8937629461288","17.7833317518235","8.75949287414551","","",
"Netherlands Antilles","ANT","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0948440032079816","","0.561569079756736","","1.75686878710986","","18.8975269794464","14.042624771595","17.6711149215699","16.8437452912331","15.0598332285881","17.1036705970764","18.2146580219269","15.4071801900864","15.1441765427589","18.198289513588","19.6475155353547","21.6506632566452","20.3821383714676","17.6918656826019","19.3393416404725","18.7239601612091","19.0776393413543","18.3202642202377","18.4968459606171","19.6384406089783","16.176656961441","7.51564681529998","","",
"Argentina","ARG","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.72239159047603","","-3.45918719470501","","-2.93093016743659","","-7.08994734287262","-8.15960565209388","-7.04496231675148","-6.42155206203461","-5.63105514645577","-6.32607534527778","-7.39287519454956","-7.5730767250061","-6.03891056776047","-6.18967482447624","-7.58045643568039","-7.38030478358269","-9.34297043085098","-9.80667281150818","-5.01222822070122","-5.1781556904316","-1.60845649987459","-1.74938402324915","-2.71407735347748","-7.11642098426819","-6.25976464152336","-2.52618765830994","","",
"Armenia","ARM","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.04187226295471","","-15.9172030091286","","-14.417466044426","","-13.228807747364","-11.0333808064461","-11.9587405920029","-11.6169474124908","-11.3769543170929","-12.6801587343216","-12.1110100746155","-10.5648142695427","-11.8156726956367","-11.2975102066994","-9.9960253238678","-9.01823627948761","-9.60968142747879","-10.2863803505898","-11.1456798315048","-10.7578610777855","-6.88500899076462","-3.78956559300422","0.0122885860037057","0.90009043738246","0.39159687422216","0.408797532320022","","",
"American Samoa","ASM","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4545642733574","13.4182554483414","5.0976377427578","5.23706087470055","5.39843973517418","5.90692338347435","5.58886626362801","5.27757987380028","5.08998951315879","5.15156656503678","20.7519437074661","19.7710999250412","19.9027056694031","30.1801184415817","30.455662369728","30.44897210598","21.6544164419174","21.8937629461288","17.7833317518235","8.75949287414551","","",
"Antigua and Barbuda","ATG","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7882521748543","","15.0172289013863","","14.6461387872696","","14.4535762667656","14.5200412869453","14.277552485466","12.6215851306915","19.0334765911103","19.4984399080276","21.7051811218262","22.4020049571991","22.1301361322402","21.629067659378","21.4290241003037","21.3105515241623","10.7925456762314","11.0560519099236","11.1006010770798","3.48237109184265","4.12623338401318","4.17618536949158","4.15719197690487","4.03811764717102","4.34932413697243","2.28754881024361","","",
"Australia","AUS","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9150488376617","","30.5682045221328","","31.655501484871","","29.9444178342819","32.2198796272277","34.0997714996337","33.0253512859345","33.1638239622116","34.0148384571075","34.4648234844207","34.7099721431732","34.4013841152192","34.6444535255433","33.6176229715347","30.2235347032548","31.4395514726639","31.4184995889664","30.242532491684","29.9096398353576","30.1471602916718","30.5001614093781","27.8490515947342","29.1177269220352","24.7019964456558","12.4684345722199","","",
"Austria","AUT","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4467803239822","","30.589446902275","","29.7679978609085","","32.5577068328858","33.385766506195","34.4526154994965","32.5111993551255","32.3829081058502","34.0568692684173","31.0888880491256","28.7985796928406","27.1340744495392","24.9949189424515","24.2633254528046","26.1333487033844","24.9330035448074","25.1373652219773","25.560544371605","25.6224445104599","26.7631033658981","25.9620195627212","25.2091065645218","21.2137497663498","17.6204433441162","7.9355729818344","","",
"Azerbaijan","AZE","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-24.57553088665","","-21.9226632118224","","-21.9705061912537","","-20.3235327005387","-17.7859437465667","-20.0741404294968","-17.8928649425506","-18.6305117607116","-19.1942535638809","-19.6631220579148","-20.2993923425675","-21.1713452339173","-20.3203510046005","-19.4257999658584","-16.4990329742432","-17.3846960067749","-16.1277382969856","-14.4326393008232","-15.3447821736336","-14.4379898309708","-14.3836364746094","-18.257368683815","-14.3495920300484","-14.5703576803207","-8.36829984188079","","",
"Burundi","BDI","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.570792555809","","-11.5897459387779","","-14.0199719071388","","-12.9182478785515","-14.8606013059616","-16.6328829526901","-16.2720674872398","-18.7255613803863","-19.8387435674668","-18.4999507665634","-19.2535405158997","-19.8713022470474","-20.5423097610474","-24.9663079977035","-24.2467324733734","-21.5560748577118","-21.8162662982941","-21.6806432008743","-22.3775314092636","-25.0737241506576","-25.3975944519043","-26.5165202617645","-27.1356538534164","-21.2542606592179","-10.8921818733216","","",
"Belgium","BEL","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1141232252121","","22.3249795436858","","24.5966030359268","","24.7826268672944","23.3769171237946","23.1265034675598","23.4117617607117","22.121871829033","22.9060605764389","23.1648378372193","24.6840895414352","25.0551097393036","25.838791847229","26.5048768520355","27.2732475996017","25.7185454368592","25.1776479482651","26.1469269990921","23.9778939485549","24.3984087705612","24.7301284074784","24.667973279953","24.8285590410233","20.9301552772522","9.3579111099243","","",
"Benin","BEN","Control of Corruption: Estimate","CC.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.3179532289505","","-11.0400228500366","","-11.9156042933464","","-13.5270724892616","-9.81891834735871","-9.57138341665268","-14.8125465512276","-9.98063057661057","-7.99236750602722","-8.73931521177292","-10.6635613441467","-11.3114964962006","-10.2925786375999","-14.5846124887466","-12.6736404895782","-11.3790285587311","-9.49358981847763","-8.91064471006393","-9.72679352760315","-6.58609774708748","-5.56962451338768","-0.66191054880619","-2.85433076322079","-1.49879024922848","-0.347056142985821","","",
